,layer,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc,added_loss,added_acc
0,0,0.617,0.741,1.317,0.502,1.269,0.481,1.328,0.496
1,1,0.79,0.729,1.441,0.502,1.368,0.504,1.562,0.494
2,2,2.319,0.67,2.976,0.506,2.975,0.511,2.943,0.505
3,3,3.556,0.593,2.97,0.488,3.306,0.505,3.243,0.502
4,4,3.915,0.582,4.146,0.506,4.257,0.497,4.312,0.495
5,5,6.008,0.412,5.568,0.491,5.456,0.502,5.494,0.496
6,6,10.563,0.08,10.056,0.071,9.983,0.067,9.849,0.077
7,7,11.338,0.057,10.693,0.056,10.485,0.048,10.403,0.062
8,8,11.574,0.055,10.661,0.053,10.817,0.052,10.689,0.051
9,9,11.679,0.052,10.715,0.054,10.551,0.055,10.549,0.057
10,10,11.74,0.048,11.06,0.055,11.056,0.052,11.206,0.047
11,11,11.707,0.054,11.779,0.049,11.748,0.048,11.777,0.048
