,layer,train_loss,train_acc,test_loss,test_acc,gen_loss,gen_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.602,0.9,2.337,0.727,2.313,0.728,5.948,0.503,4.063,0.578,2.613,0.522,4.037,0.601
1,1,0.031,0.992,0.665,0.912,0.643,0.92,3.609,0.671,0.555,0.936,1.531,0.598,1.329,0.868
2,2,0.058,0.989,0.832,0.904,0.736,0.912,3.083,0.743,0.566,0.935,0.942,0.779,1.042,0.911
3,3,0.197,0.971,1.543,0.836,1.465,0.839,2.221,0.783,1.763,0.815,1.449,0.695,2.233,0.781
4,4,6.419,0.506,7.615,0.415,7.528,0.426,6.214,0.411,5.412,0.5,2.572,0.515,6.548,0.476
5,5,9.965,0.256,10.124,0.252,10.378,0.241,7.483,0.443,8.181,0.354,4.993,0.511,7.42,0.458
6,6,10.097,0.178,10.338,0.161,10.484,0.16,8.071,0.336,7.861,0.366,5.466,0.309,7.996,0.338
7,7,10.65,0.06,10.827,0.052,10.686,0.06,9.03,0.098,7.105,0.126,9.031,0.127,9.528,0.139
8,8,12.544,0.018,12.774,0.015,12.699,0.016,12.585,0.029,13.215,0.008,10.157,0.034,12.478,0.023
9,9,13.333,0.005,13.306,0.005,13.368,0.006,12.944,0.005,13.743,0.004,11.954,0.005,13.105,0.005
10,10,14.303,0.005,14.259,0.005,14.186,0.006,14.266,0.005,14.569,0.005,12.959,0.005,14.319,0.005
11,11,14.894,0.005,14.798,0.005,14.754,0.006,14.798,0.005,14.798,0.005,14.798,0.005,14.798,0.005
