,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.011,1.0,1.336,0.78,1.273,0.791,1.664,0.746,2.098,0.659,0.89,0.853,0.724,0.737,1.604,0.76
1,1,0.0,1.0,0.773,0.881,0.726,0.886,0.937,0.855,1.49,0.765,0.793,0.871,1.089,0.623,1.052,0.836
2,2,0.0,1.0,0.355,0.949,0.417,0.939,0.56,0.911,1.941,0.722,0.578,0.913,2.027,0.512,0.508,0.916
3,3,0.023,0.998,0.879,0.866,0.947,0.852,1.475,0.774,2.492,0.643,2.009,0.704,3.758,0.493,2.17,0.69
4,4,0.039,0.996,1.625,0.75,1.5,0.746,2.999,0.579,2.997,0.593,3.882,0.542,4.39,0.5,2.462,0.653
5,5,1.812,0.777,3.843,0.464,3.786,0.465,6.071,0.299,4.229,0.433,3.809,0.448,4.434,0.497,4.28,0.447
6,6,5.512,0.33,6.892,0.184,6.859,0.202,8.291,0.122,4.964,0.442,5.308,0.348,4.619,0.494,4.754,0.455
7,7,7.138,0.104,8.025,0.068,7.96,0.074,8.834,0.066,6.47,0.184,6.016,0.218,6.059,0.227,5.924,0.213
8,8,7.492,0.01,8.316,0.002,8.316,0.005,9.522,0.021,7.052,0.029,7.368,0.069,7.713,0.018,6.368,0.064
9,9,8.577,0.001,9.085,0.001,9.069,0.001,9.945,0.033,9.842,0.001,10.242,0.0,9.255,0.001,9.384,0.001
10,10,10.635,0.0,10.812,0.001,10.765,0.001,10.606,0.032,10.806,0.001,11.263,0.001,8.943,0.001,10.599,0.001
11,11,12.124,0.0,12.109,0.001,12.085,0.001,11.374,0.031,12.085,0.001,12.085,0.001,12.085,0.001,12.085,0.001
