,layer,test acc,train acc,Intervention Acc,Intervention Acc Display,Intervention Acc Objects
0,0,0.501,0.54625,0.104375,0.10275,0.106
1,1,0.536875,0.628375,0.115125,0.11625,0.114
2,2,0.7755,0.814,0.17975,0.19725,0.16225
3,3,0.8955,0.940875,0.347,0.35775,0.33625
4,4,0.959625,0.978,0.240125,0.23425,0.246
5,5,0.967,0.988,0.156875,0.1535,0.16025
6,6,0.9705,0.988375,0.122375,0.1225,0.12225
7,7,0.963125,0.991375,0.1105,0.11075,0.11025
8,8,0.9675,0.989,0.107375,0.10725,0.1075
9,9,0.969375,0.987625,0.105,0.105,0.105
10,10,0.94075,0.982125,0.105,0.105,0.105
11,11,0.952375,0.9825,0.105,0.105,0.105
