,layer,train_loss,train_acc,test_loss,test_acc,sampled_loss,sampled_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.046,0.998,0.259,0.907,1.283,0.546,1.652,0.449,0.884,0.704
1,1,0.044,0.999,0.197,0.937,1.181,0.587,1.641,0.432,0.699,0.758
2,2,0.058,0.995,0.401,0.854,1.651,0.434,1.97,0.338,1.081,0.631
3,3,0.564,0.828,1.191,0.58,1.78,0.375,1.645,0.411,1.494,0.462
4,4,0.823,0.737,1.324,0.524,1.998,0.3,1.856,0.293,1.829,0.344
5,5,1.208,0.571,1.383,0.494,1.6,0.382,1.33,0.487,1.554,0.384
6,6,1.578,0.423,1.73,0.368,1.818,0.318,1.277,0.495,1.822,0.324
7,7,1.532,0.369,1.632,0.329,1.513,0.324,1.066,0.489,1.614,0.293
8,8,1.46,0.394,1.572,0.356,1.7,0.274,1.051,0.493,1.789,0.225
