,layer,train_loss,train_acc,val_loss,val_acc,iid_test_loss,iid_test_acc,ood_test_loss,ood_test_acc,sampled_loss,sampled_acc,added_loss,added_acc,random_loss,random_acc,interpolated_loss,interpolated_acc
0,0,0.363,0.84,0.938,0.513,0.965,0.487,0.999,0.478,0.998,0.503,0.941,0.509,0.993,0.499,0.896,0.513
1,1,0.418,0.808,0.975,0.495,0.997,0.492,1.03,0.486,0.975,0.501,0.823,0.516,1.143,0.494,0.918,0.521
2,2,0.17,0.949,1.057,0.544,1.084,0.529,1.195,0.494,0.953,0.592,1.058,0.551,0.852,0.571,0.998,0.576
3,3,0.2,0.926,1.019,0.572,1.03,0.569,1.101,0.55,0.912,0.627,1.696,0.504,0.85,0.554,0.902,0.619
4,4,0.289,0.875,0.917,0.605,0.942,0.591,1.048,0.577,0.947,0.611,1.863,0.5,1.767,0.516,0.852,0.62
5,5,0.587,0.701,1.063,0.535,1.061,0.539,1.154,0.515,0.878,0.575,1.301,0.501,0.974,0.544,0.869,0.512
6,6,0.706,0.659,1.123,0.547,1.126,0.54,1.25,0.525,1.046,0.549,1.605,0.501,0.975,0.559,1.084,0.468
7,7,1.1,0.54,1.328,0.517,1.331,0.504,1.425,0.503,0.884,0.515,1.568,0.48,0.819,0.487,1.142,0.45
8,8,1.282,0.515,1.462,0.506,1.459,0.504,1.536,0.496,0.934,0.48,1.453,0.487,0.899,0.477,1.301,0.473
9,9,1.786,0.497,1.866,0.496,1.844,0.492,1.838,0.496,1.359,0.476,1.788,0.492,0.996,0.412,1.766,0.486
10,10,1.921,0.494,1.958,0.495,1.945,0.491,1.887,0.495,1.763,0.486,1.947,0.491,1.458,0.457,1.921,0.49
11,11,2.094,0.497,2.12,0.496,2.091,0.492,2.033,0.496,2.091,0.492,2.091,0.492,2.091,0.492,2.091,0.492
